event,step,tokens,tokens_b,loss,perplexity,lr,tokens_per_sec_window,source
train,2270,1199431680,1.199432,3.4246767833828926,,0.0003955609215386333,38116.92909173336,
train,2280,1204715520,1.204716,3.374244771897793,,0.0003954910340423224,38117.18568779746,
train,2290,1209999360,1.209999,3.40789445489645,,0.00039542060766748226,38123.40779022889,
train,2300,1215283200,1.215283,3.3944098874926567,,0.0003953496426303704,38085.02202188282,
train,2310,1220567040,1.220567,3.4167316555976868,,0.0003952781391488985,38108.849525375255,
train,2320,1225850880,1.225851,3.4357282742857933,,0.00039520609744263154,38119.32263651928,
train,2330,1231134720,1.231135,3.3989688232541084,,0.00039513351773278724,38115.859672730556,
train,2340,1236418560,1.236419,3.3806082010269165,,0.0003950604002422354,38122.67868161346,
train,2350,1241702400,1.241702,3.4172891676425934,,0.00039498674519549705,38120.31795919387,
train,2360,1246986240,1.246986,3.387053743004799,,0.00039491255281874426,38122.89410610791,
train,2370,1252270080,1.252270,3.408894270658493,,0.0003948378233397985,38116.60582756779,
train,2380,1257553920,1.257554,3.3266203105449677,,0.00039476255698813096,38124.64487290007,
train,2390,1262837760,1.262838,3.3652090206742287,,0.0003946867539948612,38124.249401703266,
train,2400,1268121600,1.268122,3.3750190138816833,,0.00039461041459275687,38115.29781421286,
train,2410,1273405440,1.273405,3.3750492855906487,,0.0003945335390162324,38114.21819558414,
train,2420,1278689280,1.278689,3.3748562559485435,,0.0003944561275013489,38120.88829333098,
train,2430,1283973120,1.283973,3.404826506972313,,0.0003943781802858131,38123.73995769991,
train,2440,1289256960,1.289257,3.345564119517803,,0.00039429969760897674,34299.035137960855,
train,2450,1294540800,1.294541,3.413584344089031,,0.00039422067971183584,38107.8424169102,
train,2460,1299824640,1.299825,3.2916897535324097,,0.00039414112683702974,38115.15930234339,
train,2470,1305108480,1.305108,3.28983473777771,,0.0003940610392288407,38122.73416056557,
train,2480,1310392320,1.310392,3.2857601642608643,,0.00039398041713319294,38108.99565849012,
train,2490,1315676160,1.315676,3.3218133598566055,,0.00039389926079765183,38119.40105399531,
train,2500,1320960000,1.320960,3.289543405175209,,0.0003938175704714234,38121.53962818248,
eval,2500,1320960000,1.320960,3.3708538711071014,29.10336697542355,,,
train,2510,1326243840,1.326244,3.363887518644333,,0.0003937353464053533,32867.97058994986,
train,2520,1331527680,1.331528,3.345824547111988,,0.00039365258885192596,38114.23753247763,
train,2530,1336811520,1.336812,3.3556041941046715,,0.0003935692980652644,38117.89465563808,
train,2540,1342095360,1.342095,3.275508366525173,,0.00039348547430112865,38121.17786016966,
train,2550,1347379200,1.347379,3.2930405661463737,,0.00039340111781691544,38114.5942525206,
train,2560,1352663040,1.352663,3.338478736579418,,0.0003933162288716575,37899.35127722977,
train,2570,1357946880,1.357947,3.3081720173358917,,0.00039323080772602235,38073.71433047576,
train,2580,1363230720,1.363231,3.2154939770698547,,0.0003931448546423119,38067.69577513964,
train,2590,1368514560,1.368515,3.3125125393271446,,0.0003930583698844614,38068.34012765158,
train,2600,1373798400,1.373798,3.370792727917433,,0.0003929713537180386,38064.91590633413,
train,2610,1379082240,1.379082,3.421545185148716,,0.00039288380641024334,38066.59034355264,
train,2620,1384366080,1.384366,3.3837487921118736,,0.00039279572822990616,38063.908830426924,
train,2630,1389649920,1.389650,3.374836467206478,,0.0003927071194474877,38070.693043093124,
train,2640,1394933760,1.394934,3.3598117232322693,,0.00039261798033507825,38068.76870542609,
train,2650,1400217600,1.400218,3.35366852581501,,0.0003925283111663963,38068.88445054473,
train,2660,1405501440,1.405501,3.3300322145223618,,0.00039243811221678805,38063.76997267361,
train,2670,1410785280,1.410785,3.3421282693743706,,0.0003923473837632264,38064.8429431886,
train,2680,1416069120,1.416069,3.3120834305882454,,0.0003922561260843105,38067.08891101269,
train,2690,1421352960,1.421353,3.320608764886856,,0.0003921643394602641,38067.03091305134,
train,2700,1426636800,1.426637,3.3456690460443497,,0.0003920720241729357,38069.13634574398,
train,2710,1431920640,1.431921,3.3488067239522934,,0.00039197918050579676,38068.852931182795,
train,2720,1437204480,1.437204,3.2750027403235435,,0.0003918858087439415,38074.051781156246,
train,2730,1442488320,1.442488,3.3080287650227547,,0.0003917919091740855,38066.3569857753,
train,2740,1447772160,1.447772,3.359030395746231,,0.00039169748208456534,38070.23473147393,
train,2750,1453056000,1.453056,3.3087372556328773,,0.00039160252776533725,38073.68587735785,
train,2760,1458339840,1.458340,3.30311431735754,,0.0003915070465079765,38067.86663693912,
train,2770,1463623680,1.463624,3.2747023850679398,,0.00039141103860567636,38065.15624211414,
train,2780,1468907520,1.468908,3.340742237865925,,0.00039131450435324745,38064.42622176683,
train,2790,1474191360,1.474191,3.2747334763407707,,0.0003912174440471164,38068.43684126201,
train,2800,1479475200,1.479475,3.2755427062511444,,0.00039111985798532536,38072.44215791137,
train,2810,1484759040,1.484759,3.2988129407167435,,0.0003910217464675308,38072.658323140626,
train,2820,1490042880,1.490043,3.30815539509058,,0.0003909231097950029,38067.33895159766,
train,2830,1495326720,1.495327,3.279624678194523,,0.0003908239482706241,38062.15749256327,
train,2840,1500610560,1.500611,3.315499186515808,,0.00039072426219888875,38070.198239670324,
train,2850,1505894400,1.505894,3.2843295857310295,,0.00039062405188590183,38067.000573714686,
train,2860,1511178240,1.511178,3.2926725298166275,,0.0003905233176393782,38066.03784798333,
train,2870,1516462080,1.516462,3.264939568936825,,0.0003904220597686415,38071.7783072721,
train,2880,1521745920,1.521746,3.293059267103672,,0.00039032027858462313,38066.02490212561,
train,2890,1527029760,1.527030,3.343351401388645,,0.0003902179743998616,38070.52032476173,
